datum,D STOF AT,SVI 5,SVI 10,SVI 15,SVI 20,SVI 25,SVI 30
4/17/2015,5200,181.8181818,134.6801347,111.1111111,101.010101,94.27609428,84.17508418
4/20/2015,5200,154.2857143,108.5714286,91.42857143,85.71428571,80,74.28571429
4/24/2015,6500,237.6237624,158.4158416,132.0132013,118.8118812,108.9108911,95.70957096
4/28/2015,6100,246.0567823,220.8201893,195.5835962,182.9652997,126.1829653,91.48264984
5/1/2015,5800,200,186.6666667,133.3333333,126.6666667,113.3333333,113.3333333
5/4/2015,6100,171.4285714,154.2857143,111.4285714,94.28571429,85.71428571,80
5/8/2015,5700,181.8181818,127.2727273,109.0909091,98.18181818,94.54545455,87.27272727
5/11/2015,5500,171.8213058,103.0927835,96.21993127,85.91065292,79.03780069,75.60137457
5/13/2015,5700,187.2274942,112.8494486,102.5904078,97.46088741,89.76660682,76.94280585
5/18/2015,6300,164.021164,111.1111111,95.23809524,84.65608466,79.36507937,74.07407407
5/22/2015,6800,151.9607843,105.3921569,88.23529412,73.52941176,68.62745098,68.62745098
5/26/2015,3400,209.4594595,145.2702703,121.6216216,101.3513514,94.59459459,94.59459459
5/29/2015,5700,313.5888502,187.28223,161.1498258,143.728223,135.0174216,126.3066202
6/1/2015,5900,152.2491349,138.4083045,136.6782007,117.6470588,100.3460208,89.96539792
6/4/2015,4400,111.2412178,93.67681499,76.11241218,67.33021077,64.4028103,61.47540984
6/8/2015,2900,159.1089897,106.0726598,95.46539379,84.85812782,76.90267833,74.25086184
6/12/2015,5600,185.8585859,161.6161616,121.2121212,101.010101,88.88888889,84.84848485
6/15/2015,6000,170.0367647,114.8897059,96.50735294,87.31617647,80.42279412,73.52941176
6/18/2015,5300,162.037037,115.7407407,97.22222222,87.96296296,78.7037037,74.07407407
6/22/2015,5000,103.4482759,77.5862069,70.68965517,67.24137931,65.51724138,62.06896552
6/25/2015,5200,104,80,68,62,58,54
6/30/2015,4700,85.71428571,65.93406593,48.35164835,45.05494505,43.95604396,42.85714286
7/1/2015,4200,60,48,44,40,40,40
7/6/2015,3600,77.92207792,55.84415584,53.24675325,51.94805195,51.94805195,51.94805195
7/10/2015,4100,76.47058824,58.82352941,43.1372549,40.19607843,39.21568627,39.21568627
7/13/2015,5200,61.40350877,52.63157895,43.85964912,39.47368421,39.47368421,39.47368421
7/17/2015,4200,73.68421053,63.15789474,52.63157895,52.63157895,47.36842105,47.36842105
7/20/2015,4700,66.19385343,56.73758865,47.28132388,42.55319149,42.55319149,37.8250591
7/24/2015,4700,98.09264305,65.39509537,55.85831063,54.49591281,53.13351499,51.77111717
7/27/2015,4000,92.68292683,68.29268293,53.65853659,53.65853659,43.90243902,43.90243902
7/31/2015,4400,76.54320988,59.25925926,54.32098765,50.61728395,46.91358025,44.44444444
8/3/2015,4000,61.00217865,47.93028322,39.21568627,34.8583878,34.8583878,34.8583878
8/7/2015,4500,57.00712589,42.75534442,40.38004751,61.75771971,38.00475059,38.00475059
8/11/2015,3900,52.23880597,44.7761194,34.82587065,34.82587065,32.33830846,32.33830846
8/14/2015,4000,58.33333333,52.77777778,50,38.88888889,36.11111111,33.33333333
8/17/2015,4000,61.53846154,46.15384615,46.15384615,41.02564103,41.02564103,41.02564103
8/21/2015,3800,64,48,48,42.66666667,42.66666667,42.66666667
8/24/2015,4500,70.27027027,54.05405405,48.64864865,43.24324324,39.18918919,37.83783784
8/28/2015,4000,80.21390374,57.48663102,53.47593583,50.80213904,49.46524064,48.12834225
8/31/2015,3900,69.76744186,65.11627907,60.46511628,55.81395349,46.51162791,41.86046512
9/4/2015,3900,75,70,65,60,50,45
9/7/2015,4000,90,70,62.5,57.5,52.5,50
9/9/2015,3700,78.78787879,56.56565657,48.48484848,44.44444444,40.4040404,39.39393939
9/11/2015,4700,72.64957265,59.82905983,51.28205128,47.00854701,42.73504274,40.5982906
9/14/2015,4700,82.03991131,57.64966741,50.99778271,44.345898,42.1286031,39.9113082
9/18/2015,5300,85.97285068,63.34841629,58.82352941,54.29864253,45.24886878,45.24886878
9/21/2015,4200,71.42857143,61.2244898,51.02040816,45.91836735,40.81632653,38.26530612
9/25/2015,4200,73.17073171,58.53658537,48.7804878,43.90243902,43.90243902,39.02439024
9/28/2015,4100,65.06024096,57.8313253,48.19277108,43.37349398,43.37349398,38.55421687
10/2/2015,4400,84.44444444,62.22222222,55.55555556,48.88888889,44.44444444,40
10/5/2015,4400,88.37209302,69.76744186,51.1627907,46.51162791,44.18604651,41.86046512
10/7/2015,4200,61.06870229,50.89058524,45.80152672,40.71246819,40.71246819,40.71246819
10/12/2015,4300,68.49315068,50.2283105,45.66210046,38.81278539,36.52968037,36.52968037
10/16/2015,4800,61.13537118,39.30131004,39.30131004,39.30131004,34.93449782,34.93449782
10/19/2015,4500,59.09090909,50,36.36363636,34.09090909,31.81818182,31.81818182
10/23/2015,4700,50,30,27.5,27.5,27.5,27.5
10/26/2015,,28.63961814,26.25298329,26.25298329,26.25298329,26.25298329,26.25298329
10/30/2015,4300,38.87688985,25.91792657,25.91792657,25.91792657,23.75809935,23.75809935
11/2/2015,4300,40.90909091,27.27272727,27.27272727,27.27272727,25,25
11/6/2015,4500,27.33485194,25.05694761,25.05694761,25.05694761,25.05694761,25.05694761
11/9/2015,3800,20,20,20,20,20,20
11/13/2015,4100,19.18465228,19.18465228,19.18465228,19.18465228,19.18465228,14.38848921
11/15/2015,4000,19.09307876,19.09307876,19.09307876,19.09307876,19.09307876,19.09307876
11/18/2015,4100,,,,,,
11/20/2015,4100,20.25316456,20.25316456,20.25316456,20.25316456,20.25316456,20.25316456
11/23/2015,4300,19.51219512,19.51219512,17.07317073,17.07317073,17.07317073,17.07317073
11/25/2015,4600,23.80952381,23.80952381,19.04761905,19.04761905,19.04761905,19.04761905
11/27/2015,4000,25,25,20,20,20,20
11/30/2015,4900,16.32653061,16.32653061,16.32653061,16.32653061,16.32653061,16.32653061
12/4/2015,4200,20.2020202,16.16161616,16.16161616,16.16161616,16.16161616,16.16161616
12/7/2015,4000,20.2020202,16.16161616,12.12121212,12.12121212,12.12121212,12.12121212
12/11/2015,4400,17.39130435,17.39130435,15.2173913,13.04347826,13.04347826,13.04347826
